symbol,company_name,categories
LU,Lufax Holding Ltd,"US stocks,US stocks - not owned"
FHB,"First Hawaiian, Inc.","US stocks,US stocks - not owned"
LXP,LXP Industrial Trust,"US stocks,US stocks - not owned"
FBP,First BanCorp.,"US stocks,US stocks - not owned"
MCW,"Mister Car Wash, Inc.","US stocks,US stocks - not owned"
PLTK,Playtika Holding Corp.,"US stocks,US stocks - not owned"
PTVE,Pactiv Evergreen Inc.,"US stocks,US stocks - not owned"
HTZ,"Hertz Global Holdings, Inc.","US stocks,US stocks - not owned"
ZGN,Ermenegildo Zegna N.V.,"US stocks,US stocks - not owned"
GDRX,"GoodRx Holdings, Inc.","US stocks,US stocks - not owned"
DNA,"Ginkgo Bioworks Holdings, Inc.","US stocks,US stocks - not owned"
UP,Wheels Up Experience Inc.,"US stocks,US stocks - not owned"
FSLY,"Fastly, Inc.","US stocks,US stocks - not owned"
CVBF,CVB Financial Corp.,"US stocks,US stocks - not owned"
RXO,"RXO, Inc.","US stocks,US stocks - not owned"
FULT,Fulton Financial Corporation,"US stocks,US stocks - not owned"
FL,"Foot Locker, Inc.","US stocks,US stocks - not owned"
BE,Bloom Energy Corporation,"US stocks,US stocks - not owned"
OR,Osisko Gold Royalties Ltd,"US stocks,US stocks - not owned"
NS,NuStar Energy L.P.,"US stocks,US stocks - not owned"
MODG,Topgolf Callaway Brands Corp.,"US stocks,US stocks - not owned"
GBDC,"Golub Capital BDC, Inc.","US stocks,US stocks - not owned"
PINC,"Premier, Inc.","US stocks,US stocks - not owned"
BMBL,Bumble Inc.,"US stocks,US stocks - not owned"
CBAY,"CymaBay Therapeutics, Inc.","US stocks,US stocks - not owned"
ABR,"Arbor Realty Trust, Inc.","US stocks,US stocks - not owned"
AGL,"agilon health, inc.","US stocks,US stocks - not owned"
PRVA,"Privia Health Group, Inc.","US stocks,US stocks - not owned"
HAYW,"Hayward Holdings, Inc.","US stocks,US stocks - not owned"
CERT,"Certara, Inc.","US stocks,US stocks - not owned"
HTGC,"Hercules Capital, Inc.","US stocks,US stocks - not owned"
CTRE,"CareTrust REIT, Inc.","US stocks,US stocks - not owned"
ARCO,Arcos Dorados Holdings Inc.,"US stocks,US stocks - not owned"
LFST,"LifeStance Health Group, Inc.","US stocks,US stocks - not owned"
CARG,"CarGurus, Inc.","US stocks,US stocks - not owned"
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.","US stocks,US stocks - not owned"
SGML,Sigma Lithium Corporation,"US stocks,US stocks - not owned"
HCM,HUTCHMED (China) Limited,"US stocks,US stocks - not owned"
