symbol,company_name,categories
VZ,Verizon Communications Inc.,US stocks
PFE,Pfizer Inc.,US stocks
T,AT&T Inc.,US stocks
UL,Unilever PLC,US stocks
PBR,Petróleo Brasileiro S.A. - Petrobras,US stocks
PBR-A,Petróleo Brasileiro S.A. - Petrobras,US stocks
BP,BP p.l.c.,US stocks
GSK,GSK plc,US stocks
RELX,RELX PLC,US stocks
STLA,Stellantis N.V.,US stocks
INFY,Infosys Limited,US stocks
EQNR,Equinor ASA,US stocks
ENB,Enbridge Inc.,US stocks
SLB,Schlumberger Limited,US stocks
MO,"Altria Group, Inc.",US stocks
BTI,British American Tobacco p.l.c.,US stocks
BN,Brookfield Corporation,US stocks
EPD,Enterprise Products Partners L.P.,US stocks
AMX,"América Móvil, S.A.B. de C.V.",US stocks
HMC,"Honda Motor Co., Ltd.",US stocks
VALE,Vale S.A.,US stocks
FCX,Freeport-McMoRan Inc.,US stocks
PLTR,Palantir Technologies Inc.,US stocks
ET,Energy Transfer LP,US stocks
E,Eni S.p.A.,US stocks
F,Ford Motor Company,US stocks
GM,General Motors Company,US stocks
TAK,Takeda Pharmaceutical Company Limited,US stocks
WMB,"The Williams Companies, Inc.",US stocks
SU,Suncor Energy Inc.,US stocks
MFC,Manulife Financial Corporation,US stocks
PCG,PG&E Corporation,US stocks
TRP,TC Energy Corporation,US stocks
STM,STMicroelectronics N.V.,US stocks
MPLX,MPLX LP,US stocks
KMI,"Kinder Morgan, Inc.",US stocks
D,"Dominion Energy, Inc.",US stocks
NEM,Newmont Corporation,US stocks
WDS,Woodside Energy Group Ltd,US stocks
KVUE,Kenvue Inc.,US stocks
KR,The Kroger Co.,US stocks
CPNG,"Coupang, Inc.",US stocks
CVE,Cenovus Energy Inc.,US stocks
BCE,BCE Inc.,US stocks
HAL,Halliburton Company,US stocks
ORAN,Orange S.A.,US stocks
VICI,VICI Properties Inc.,US stocks
DVN,Devon Energy Corporation,US stocks
HPQ,HP Inc.,US stocks
GLW,Corning Incorporated,US stocks
GOLD,Barrick Gold Corporation,US stocks
DAL,"Delta Air Lines, Inc.",US stocks
PUK,Prudential plc,US stocks
OWL,Blue Owl Capital Inc.,US stocks
TU,TELUS Corporation,US stocks
WY,Weyerhaeuser Company,US stocks
PINS,"Pinterest, Inc.",US stocks
HPE,Hewlett Packard Enterprise Company,US stocks
RCI,Rogers Communications Inc.,US stocks
EC,Ecopetrol S.A.,US stocks
ASX,"ASE Technology Holding Co., Ltd.",US stocks
BAX,Baxter International Inc.,US stocks
ROL,"Rollins, Inc.",US stocks
TS,Tenaris S.A.,US stocks
INVH,Invitation Homes Inc.,US stocks
FE,FirstEnergy Corp.,US stocks
CCL,Carnival Corporation & plc,US stocks
LUV,Southwest Airlines Co.,US stocks
MT,ArcelorMittal S.A.,US stocks
CTRA,Coterra Energy Inc.,US stocks
TECK,Teck Resources Limited,US stocks
PPL,PPL Corporation,US stocks
WPM,Wheaton Precious Metals Corp.,US stocks
FTS,Fortis Inc.,US stocks
PBA,Pembina Pipeline Corporation,US stocks
HRL,Hormel Foods Corporation,US stocks
PHG,Koninklijke Philips N.V.,US stocks
CUK,Carnival Corporation & plc,US stocks
CCJ,Cameco Corporation,US stocks
CNP,"CenterPoint Energy, Inc.",US stocks
VTR,"Ventas, Inc.",US stocks
VIV,Telefônica Brasil S.A.,US stocks
AVTR,"Avantor, Inc.",US stocks
EQT,EQT Corporation,US stocks
YUMC,"Yum China Holdings, Inc.",US stocks
ZTO,ZTO Express (Cayman) Inc.,US stocks
BAM,Brookfield Asset Management Ltd.,US stocks
BEKE,KE Holdings Inc.,US stocks
CRBG,"Corebridge Financial, Inc.",US stocks
AMH,American Homes 4 Rent,US stocks
SUZ,Suzano S.A.,US stocks
TEVA,Teva Pharmaceutical Industries Limited,US stocks
CNHI,CNH Industrial N.V.,US stocks
BEP,Brookfield Renewable Partners L.P.,US stocks
BEN,"Franklin Resources, Inc.",US stocks
DT,"Dynatrace, Inc.",US stocks
MRO,Marathon Oil Corporation,US stocks
RTO,Rentokil Initial plc,US stocks
MGM,MGM Resorts International,US stocks
KIM,Kimco Realty Corporation,US stocks
CAG,"Conagra Brands, Inc.",US stocks
BIP,Brookfield Infrastructure Partners L.P.,US stocks
UDR,"UDR, Inc.",US stocks
GFI,Gold Fields Limited,US stocks
OVV,Ovintiv Inc.,US stocks
WES,"Western Midstream Partners, LP",US stocks
GFL,GFL Environmental Inc.,US stocks
CPB,Campbell Soup Company,US stocks
SQM,Sociedad Química y Minera de Chile S.A.,US stocks
IP,International Paper Company,US stocks
AGR,"Avangrid, Inc.",US stocks
FMS,Fresenius Medical Care AG,US stocks
JNPR,"Juniper Networks, Inc.",US stocks
IPG,"The Interpublic Group of Companies, Inc.",US stocks
PR,Permian Resources Corporation,US stocks
NI,NiSource Inc.,US stocks
ACI,"Albertsons Companies, Inc.",US stocks
SNN,Smith & Nephew plc,US stocks
WRK,WestRock Company,US stocks
AES,The AES Corporation,US stocks
COTY,Coty Inc.,US stocks
EQH,"Equitable Holdings, Inc.",US stocks
TPR,"Tapestry, Inc.",US stocks
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,US stocks
X,United States Steel Corporation,US stocks
ONON,On Holding AG,US stocks
BBWI,"Bath & Body Works, Inc.",US stocks
CLF,Cleveland-Cliffs Inc.,US stocks
MOS,The Mosaic Company,US stocks
CUBE,CubeSmart,US stocks
QGEN,Qiagen N.V.,US stocks
VIPS,Vipshop Holdings Limited,US stocks
CNM,"Core & Main, Inc.",US stocks
FTI,TechnipFMC plc,US stocks
WTRG,"Essential Utilities, Inc.",US stocks
PEAK,"Healthpeak Properties, Inc.",US stocks
INFA,Informatica Inc.,US stocks
APG,APi Group Corporation,US stocks
YPF,YPF Sociedad Anónima,US stocks
BIRK,Birkenstock Holding plc,US stocks
AU,AngloGold Ashanti plc,US stocks
HESM,Hess Midstream LP,US stocks
PSO,Pearson plc,US stocks
TIMB,TIM S.A.,US stocks
STVN,Stevanato Group S.p.A.,US stocks
NCLH,Norwegian Cruise Line Holdings Ltd.,US stocks
AS,"Amer Sports, Inc.",US stocks
SKM,"SK Telecom Co., Ltd.",US stocks
AR,Antero Resources Corporation,US stocks
ARMK,Aramark,US stocks
ORI,Old Republic International Corporation,US stocks
GPK,Graphic Packaging Holding Company,US stocks
RRC,Range Resources Corporation,US stocks
ELAN,Elanco Animal Health Incorporated,US stocks
OHI,"Omega Healthcare Investors, Inc.",US stocks
NNN,"NNN REIT, Inc.",US stocks
SUM,"Summit Materials, Inc.",US stocks
CHWY,"Chewy, Inc.",US stocks
GPS,"The Gap, Inc.",US stocks
COLD,"Americold Realty Trust, Inc.",US stocks
EDR,"Endeavor Group Holdings, Inc.",US stocks
LEVI,Levi Strauss & Co.,US stocks
KT,KT Corporation,US stocks
BWA,BorgWarner Inc.,US stocks
AXTA,Axalta Coating Systems Ltd.,US stocks
IVZ,Invesco Ltd.,US stocks
AZEK,The AZEK Company Inc.,US stocks
NYT,The New York Times Company,US stocks
STAG,"STAG Industrial, Inc.",US stocks
HRB,"H&R Block, Inc.",US stocks
DAR,Darling Ingredients Inc.,US stocks
BRX,Brixmor Property Group Inc.,US stocks
OGE,OGE Energy Corp.,US stocks
VNT,Vontier Corporation,US stocks
NOV,NOV Inc.,US stocks
AM,Antero Midstream Corporation,US stocks
BROS,Dutch Bros Inc.,US stocks
ATI,ATI Inc.,US stocks
FLR,Fluor Corporation,US stocks
G,Genpact Limited,US stocks
CSAN,Cosan S.A.,US stocks
VFC,V.F. Corporation,US stocks
NE,Noble Corporation plc,US stocks
CAE,CAE Inc.,US stocks
MUR,Murphy Oil Corporation,US stocks
OBDC,Blue Owl Capital Corporation,US stocks
GXO,"GXO Logistics, Inc.",US stocks
GIL,Gildan Activewear Inc.,US stocks
PBF,PBF Energy Inc.,US stocks
ENLC,"EnLink Midstream, LLC",US stocks
VVV,Valvoline Inc.,US stocks
ESI,Element Solutions Inc,US stocks
BLCO,Bausch + Lomb Corporation,US stocks
MNSO,MINISO Group Holding Limited,US stocks
M,"Macy's, Inc.",US stocks
FLS,Flowserve Corporation,US stocks
CLS,Celestica Inc.,US stocks
VNO,Vornado Realty Trust,US stocks
ZWS,Zurn Elkay Water Solutions Corporation,US stocks
HOG,"Harley-Davidson, Inc.",US stocks
CPRI,Capri Holdings Limited,US stocks
MTG,MGIC Investment Corporation,US stocks
UGI,UGI Corporation,US stocks
RYN,Rayonier Inc.,US stocks
FSK,FS KKR Capital Corp.,US stocks
FRO,Frontline plc,US stocks
JHG,Janus Henderson Group plc,US stocks
DOCS,"Doximity, Inc.",US stocks
HR,Healthcare Realty Trust Incorporated,US stocks
DV,"DoubleVerify Holdings, Inc.",US stocks
SEE,Sealed Air Corporation,US stocks
ST,Sensata Technologies Holding plc,US stocks
AGI,Alamos Gold Inc.,US stocks
SM,SM Energy Company,US stocks
NSA,National Storage Affiliates Trust,US stocks
IGT,International Game Technology PLC,US stocks
PAAS,Pan American Silver Corp.,US stocks
MGY,Magnolia Oil & Gas Corporation,US stocks
AEO,"American Eagle Outfitters, Inc.",US stocks
KRG,Kite Realty Group Trust,US stocks
AL,Air Lease Corporation,US stocks
ETRN,Equitrans Midstream Corporation,US stocks
FLO,"Flowers Foods, Inc.",US stocks
WU,The Western Union Company,US stocks
ALK,"Alaska Air Group, Inc.",US stocks
HGV,Hilton Grand Vacations Inc.,US stocks
SLGN,Silgan Holdings Inc.,US stocks
DNB,"Dun & Bradstreet Holdings, Inc.",US stocks
OGN,Organon & Co.,US stocks
BIPC,Brookfield Infrastructure Corporation,US stocks
AIRC,Apartment Income REIT Corp.,US stocks
RDN,Radian Group Inc.,US stocks
HUN,Huntsman Corporation,US stocks
MDU,"MDU Resources Group, Inc.",US stocks
KRC,Kilroy Realty Corporation,US stocks
SQSP,"Squarespace, Inc.",US stocks
BEPC,Brookfield Renewable Corporation,US stocks
CWEN,"Clearway Energy, Inc.",US stocks
DOC,"Healthpeak Properties, Inc.",US stocks
CEF,Sprott Physical Gold and Silver Trust,US stocks
NJR,New Jersey Resources Corporation,US stocks
EPRT,"Essential Properties Realty Trust, Inc.",US stocks
POR,Portland General Electric Company,US stocks
PAGS,PagSeguro Digital Ltd.,US stocks
BVN,Compañía de Minas Buenaventura S.A.A.,US stocks
APLE,"Apple Hospitality REIT, Inc.",US stocks
ERJ,Embraer S.A.,US stocks
SNDR,"Schneider National, Inc.",US stocks
ASAI,Sendas Distribuidora S.A.,US stocks
BOX,"Box, Inc.",US stocks
EVH,"Evolent Health, Inc.",US stocks
MAIN,Main Street Capital Corporation,US stocks
AB,AllianceBernstein Holding L.P.,US stocks
GTES,Gates Industrial Corporation plc,US stocks
RLJ,RLJ Lodging Trust,US stocks
HP,"Helmerich & Payne, Inc.",US stocks
PRGO,Perrigo Company plc,US stocks
TDC,Teradata Corporation,US stocks
ZGN,Ermenegildo Zegna N.V.,US stocks
AVNT,Avient Corporation,US stocks
STR,Sitio Royalties Corp.,US stocks
ERF,Enerplus Corporation,US stocks
PK,Park Hotels & Resorts Inc.,US stocks
IRT,"Independence Realty Trust, Inc.",US stocks
CUZ,Cousins Properties Incorporated,US stocks
EURN,Euronav NV,US stocks
MAC,The Macerich Company,US stocks
NOG,"Northern Oil and Gas, Inc.",US stocks
SEM,Select Medical Holdings Corporation,US stocks
CXM,"Sprinklr, Inc.",US stocks
LBRT,Liberty Energy Inc.,US stocks
NVST,Envista Holdings Corporation,US stocks
DFH,"Dream Finders Homes, Inc.",US stocks
VIST,"Vista Energy, S.A.B. de C.V.",US stocks
YETI,"YETI Holdings, Inc.",US stocks
DOCN,"DigitalOcean Holdings, Inc.",US stocks
JWN,"Nordstrom, Inc.",US stocks
PWSC,"PowerSchool Holdings, Inc.",US stocks
HI,"Hillenbrand, Inc.",US stocks
NEA,Nuveen AMT-Free Quality Municipal Income Fund,US stocks
BTU,Peabody Energy Corporation,US stocks
TPH,"Tri Pointe Homes, Inc.",US stocks
CNX,CNX Resources Corporation,US stocks
BSM,"Black Stone Minerals, L.P.",US stocks
CVI,"CVR Energy, Inc.",US stocks
FL,"Foot Locker, Inc.",US stocks
SLG,SL Green Realty Corp.,US stocks
NOMD,Nomad Foods Limited,US stocks
SKT,Tanger Inc.,US stocks
SVV,"Savers Value Village, Inc.",US stocks
PNM,"PNM Resources, Inc.",US stocks
TNL,Travel + Leisure Co.,US stocks
REZI,"Resideo Technologies, Inc.",US stocks
SDRL,Seadrill Limited,US stocks
ATHM,Autohome Inc.,US stocks
VSH,"Vishay Intertechnology, Inc.",US stocks
ADNT,Adient plc,US stocks
EPR,EPR Properties,US stocks
INST,"Instructure Holdings, Inc.",US stocks
KSS,Kohl's Corporation,US stocks
APAM,Artisan Partners Asset Management Inc.,US stocks
FHI,"Federated Hermes, Inc.",US stocks
CTRE,"CareTrust REIT, Inc.",US stocks
TCN,Tricon Residential Inc.,US stocks
NS,NuStar Energy L.P.,US stocks
DBRG,"DigitalBridge Group, Inc.",US stocks
HAYW,"Hayward Holdings, Inc.",US stocks
WHD,"Cactus, Inc.",US stocks
CNO,"CNO Financial Group, Inc.",US stocks
SITC,SITE Centers Corp.,US stocks
YOU,"Clear Secure, Inc.",US stocks
HTGC,"Hercules Capital, Inc.",US stocks
OR,Osisko Gold Royalties Ltd,US stocks
AROC,"Archrock, Inc.",US stocks
CSTM,Constellium SE,US stocks
BNL,"Broadstone Net Lease, Inc.",US stocks
TGNA,TEGNA Inc.,US stocks
DEI,"Douglas Emmett, Inc.",US stocks
CDP,COPT Defense Properties,US stocks
LEG,"Leggett & Platt, Incorporated",US stocks
LTH,"Life Time Group Holdings, Inc.",US stocks
HIW,"Highwoods Properties, Inc.",US stocks
USAC,"USA Compression Partners, LP",US stocks
NAD,Nuveen Quality Municipal Income Fund,US stocks
CWT,California Water Service Group,US stocks
AVA,Avista Corporation,US stocks
PRMW,Primo Water Corporation,US stocks
OI,"O-I Glass, Inc.",US stocks
YELP,Yelp Inc.,US stocks
ABM,ABM Industries Incorporated,US stocks
MODG,Topgolf Callaway Brands Corp.,US stocks
NVG,Nuveen AMT-Free Municipal Credit Income Fund,US stocks
OUT,OUTFRONT Media Inc.,US stocks
MP,MP Materials Corp.,US stocks
ARCO,Arcos Dorados Holdings Inc.,US stocks
VSTS,Vestis Corporation,US stocks
EVTC,"EVERTEC, Inc.",US stocks
RXO,"RXO, Inc.",US stocks
EGO,Eldorado Gold Corporation,US stocks
MWA,"Mueller Water Products, Inc.",US stocks
PGTI,"PGT Innovations, Inc.",US stocks
NABL,"N-able, Inc.",US stocks
CALX,"Calix, Inc.",US stocks
TROX,Tronox Holdings plc,US stocks
TBBB,BBB Foods Inc.,US stocks
NZF,Nuveen Municipal Credit Income Fund,US stocks
SHO,"Sunstone Hotel Investors, Inc.",US stocks
RAMP,"LiveRamp Holdings, Inc.",US stocks
FCPT,"Four Corners Property Trust, Inc.",US stocks
VZIO,VIZIO Holding Corp.,US stocks
MBC,"MasterBrand, Inc.",US stocks
SIX,Six Flags Entertainment Corporation,US stocks
JBI,"Janus International Group, Inc.",US stocks
CRGY,Crescent Energy Company,US stocks
UTF,"Cohen & Steers Infrastructure Fund, Inc",US stocks
UE,Urban Edge Properties,US stocks
PARR,"Par Pacific Holdings, Inc.",US stocks
CPE,Callon Petroleum Company,US stocks
EAT,"Brinker International, Inc.",US stocks
CNK,"Cinemark Holdings, Inc.",US stocks
TGLS,Tecnoglass Inc.,US stocks
UTG,Reaves Utility Income Fund,US stocks
PTY,PIMCO Corporate & Income Opportunity Fund,US stocks
KGS,"Kodiak Gas Services, Inc.",US stocks
TALO,Talos Energy Inc.,US stocks
PRIM,Primoris Services Corporation,US stocks
TGH,Textainer Group Holdings Limited,US stocks
VSCO,Victoria's Secret & Co.,US stocks
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,US stocks
TRN,"Trinity Industries, Inc.",US stocks
BKE,"The Buckle, Inc.",US stocks
SPNT,SiriusPoint Ltd.,US stocks
OII,"Oceaneering International, Inc.",US stocks
AESI,Atlas Energy Solutions Inc.,US stocks
FIHL,Fidelis Insurance Holdings Limited,US stocks
HNI,HNI Corporation,US stocks
SWI,SolarWinds Corporation,US stocks
KNTK,Kinetik Holdings Inc.,US stocks
ENR,"Energizer Holdings, Inc.",US stocks
XPRO,Expro Group Holdings N.V.,US stocks
BOWL,Bowlero Corp.,US stocks
KMT,Kennametal Inc.,US stocks
THS,"TreeHouse Foods, Inc.",US stocks
PEB,Pebblebrook Hotel Trust,US stocks
ATMU,Atmus Filtration Technologies Inc.,US stocks
VET,Vermilion Energy Inc.,US stocks
EPC,Edgewell Personal Care Company,US stocks
ATGE,Adtalem Global Education Inc.,US stocks
OMI,"Owens & Minor, Inc.",US stocks
SFL,SFL Corporation Ltd.,US stocks
VSTO,Vista Outdoor Inc.,US stocks
AKR,Acadia Realty Trust,US stocks
TSLX,"Sixth Street Specialty Lending, Inc.",US stocks
MSGE,Madison Square Garden Entertainment Corp.,US stocks
WLY,"John Wiley & Sons, Inc.",US stocks
B,Barnes Group Inc.,US stocks
DHT,"DHT Holdings, Inc.",US stocks
DAN,Dana Incorporated,US stocks
VTLE,"Vital Energy, Inc.",US stocks
ERO,Ero Copper Corp.,US stocks
EPAC,Enerpac Tool Group Corp.,US stocks
TDS,"Telephone and Data Systems, Inc.",US stocks
IVT,InvenTrust Properties Corp.,US stocks
VGR,Vector Group Ltd.,US stocks
KAR,"OPENLANE, Inc.",US stocks
GSBD,"Goldman Sachs BDC, Inc.",US stocks
VYX,NCR Voyix Corporation,US stocks
AAT,"American Assets Trust, Inc.",US stocks
RVT,Royce Value Trust Inc.,US stocks
CXW,"CoreCivic, Inc.",US stocks
NGVT,Ingevity Corporation,US stocks
RQI,"Cohen & Steers Quality Income Realty Fund, Inc.",US stocks
DK,"Delek US Holdings, Inc.",US stocks
XHR,"Xenia Hotels & Resorts, Inc.",US stocks
NAC,Nuveen California Quality Municipal Income Fund,US stocks
KRP,"Kimbell Royalty Partners, LP",US stocks
PHIN,PHINIA Inc.,US stocks
JBGS,JBG SMITH Properties,US stocks
GLP,Global Partners LP,US stocks
LZB,La-Z-Boy Incorporated,US stocks
DNOW,DNOW Inc.,US stocks
RVLV,"Revolve Group, Inc.",US stocks
JELD,"JELD-WEN Holding, Inc.",US stocks
ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,US stocks
VRE,"Veris Residential, Inc.",US stocks
DQ,Daqo New Energy Corp.,US stocks
GEO,"The GEO Group, Inc.",US stocks
SCS,Steelcase Inc.,US stocks
LPG,Dorian LPG Ltd.,US stocks
WKC,World Kinect Corporation,US stocks
GTY,Getty Realty Corp.,US stocks
KN,Knowles Corporation,US stocks
SAFE,Safehold Inc.,US stocks
UTZ,"Utz Brands, Inc.",US stocks
GEL,"Genesis Energy, L.P.",US stocks
NATL,NCR Atleos Corporation,US stocks
PRG,"PROG Holdings, Inc.",US stocks
NWN,Northwest Natural Holding Company,US stocks
GES,"Guess?, Inc.",US stocks
LTC,"LTC Properties, Inc.",US stocks
CAL,"Caleres, Inc.",US stocks
JKS,"JinkoSolar Holding Co., Ltd.",US stocks
SPH,"Suburban Propane Partners, L.P.",US stocks
FLNG,FLEX LNG Ltd.,US stocks
CMRE,Costamare Inc.,US stocks
ZIM,ZIM Integrated Shipping Services Ltd.,US stocks
SBH,"Sally Beauty Holdings, Inc.",US stocks
KAMN,Kaman Corporation,US stocks
CWH,"Camping World Holdings, Inc.",US stocks
HE,"Hawaiian Electric Industries, Inc.",US stocks
NTST,NETSTREIT Corp.,US stocks
KLG,WK Kellogg Co,US stocks
OEC,Orion S.A.,US stocks
GOOS,Canada Goose Holdings Inc.,US stocks
ZIP,"ZipRecruiter, Inc.",US stocks
WNC,Wabash National Corporation,US stocks
ALEX,"Alexander & Baldwin, Inc.",US stocks
DO,"Diamond Offshore Drilling, Inc.",US stocks
DEA,"Easterly Government Properties, Inc.",US stocks
CARS,Cars.com Inc.,US stocks
NMZ,Nuveen Municipal High Income Opportunity Fund,US stocks
AHR,"American Healthcare REIT, Inc.",US stocks
ELME,Elme Communities,US stocks
UMH,"UMH Properties, Inc.",US stocks
DOLE,Dole plc,US stocks
TGI,"Triumph Group, Inc.",US stocks
REVG,"REV Group, Inc.",US stocks
AGRO,Adecoagro S.A.,US stocks
MUC,"BlackRock MuniHoldings California Quality Fund, Inc.",US stocks
MRC,MRC Global Inc.,US stocks
BCSF,"Bain Capital Specialty Finance, Inc.",US stocks
BTZ,BlackRock Credit Allocation Income Trust,US stocks
ATEN,"A10 Networks, Inc.",US stocks
PLYM,"Plymouth Industrial REIT, Inc.",US stocks
MATV,"Mativ Holdings, Inc.",US stocks
AMRC,"Ameresco, Inc.",US stocks
HRT,HireRight Holdings Corporation,US stocks
BZH,"Beazer Homes USA, Inc.",US stocks
ACEL,"Accel Entertainment, Inc.",US stocks
BSIG,BrightSphere Investment Group Inc.,US stocks
TWI,"Titan International, Inc.",US stocks
AHH,"Armada Hoffler Properties, Inc.",US stocks
THR,"Thermon Group Holdings, Inc.",US stocks
IMAX,IMAX Corporation,US stocks
SLCA,"U.S. Silica Holdings, Inc.",US stocks
SXC,"SunCoke Energy, Inc.",US stocks
UNFI,"United Natural Foods, Inc.",US stocks
AVNS,"Avanos Medical, Inc.",US stocks
BGS,"B&G Foods, Inc.",US stocks
CMP,"Compass Minerals International, Inc.",US stocks
PSFE,Paysafe Limited,US stocks
GNK,Genco Shipping & Trading Limited,US stocks
UTI,"Universal Technical Institute, Inc.",US stocks
SBOW,"SilverBow Resources, Inc.",US stocks
MYI,"BlackRock MuniYield Quality Fund III, Inc.",US stocks
ECC,Eagle Point Credit Company Inc.,US stocks
MEI,"Methode Electronics, Inc.",US stocks
CLB,Core Laboratories Inc.,US stocks
HZO,"MarineMax, Inc.",US stocks
PFLT,PennantPark Floating Rate Capital Ltd.,US stocks
TNP,Tsakos Energy Navigation Limited,US stocks
ARIS,"Aris Water Solutions, Inc.",US stocks
AMBC,"Ambac Financial Group, Inc.",US stocks
VTS,"Vitesse Energy, Inc.",US stocks
GSL,"Global Ship Lease, Inc.",US stocks
ASC,Ardmore Shipping Corporation,US stocks
XPOF,"Xponential Fitness, Inc.",US stocks
PRA,ProAssurance Corporation,US stocks
NUS,"Nu Skin Enterprises, Inc.",US stocks
WSR,Whitestone REIT,US stocks
DBI,Designer Brands Inc.,US stocks
CLCO,Cool Company Ltd.,US stocks
CION,CION Investment Corporation,US stocks
NMCO,Nuveen Municipal Credit Opportunities Fund,US stocks
FPI,Farmland Partners Inc.,US stocks
MYD,"BlackRock MuniYield Fund, Inc.",US stocks
SD,"SandRidge Energy, Inc.",US stocks
MTW,"The Manitowoc Company, Inc.",US stocks
MCS,The Marcus Corporation,US stocks
MED,"Medifast, Inc.",US stocks
ALTG,Alta Equipment Group Inc.,US stocks
NLOP,Net Lease Office Properties,US stocks
